user_id,history,candidates,ground_truth
5,"Movie 506: Orlando (Genres: Romance, Drama, Fantasy; Language: en; Overview: Orlando inherits property, transforms into a woman, navigates centuries.),Movie 515: The Remains of the Day (Genres: Drama, Romance; Language: en; Overview: Butler's decorum challenged by love and political tensions post-WWI.),Movie 551: The Nightmare Before Christmas (Genres: Fantasy, Animation, Family; Language: en; Overview: Jack Skellington kidnaps Santa to deliver Halloween gifts for Christmas.),Movie 593: The Silence of the Lambs (Genres: Crime, Drama, Thriller; Language: en; Overview: FBI trainee seeks clues from cannibal psychiatrist; chaos ensues.),Movie 1517: Austin Powers: International Man of Mystery (Genres: Science Fiction, Comedy, Crime; Language: en; Overview: Austin Powers, '60s spy, battles Dr. Evil with Vanessa's help.),Movie 1610: The Hunt for Red October (Genres: Action, Adventure, Thriller; Language: en; Overview: Soviet sub vanishes; U.S. Navy and CIA investigate possible intentions.),Movie 1897: High Art (Genres: Drama, Romance; Language: en; Overview: Intern and photographer exploit each other, falling in love.),Movie 2029: Billy's Hollywood Screen Kiss (Genres: Comedy, Romance; Language: en; Overview: Struggling photographer Billy pursues waiter Gabriel through artistic project.),Movie 2355: A Bug's Life (Genres: Adventure, Animation, Comedy, Family; Language: en; Overview: Ant Flik recruits warrior bugs to protect colony from grasshoppers.),Movie 2571: The Matrix (Genres: Action, Science Fiction; Language: en; Overview: In the 22nd century, a hacker joins rebels against computers.)",,
8,"Movie 58: The Postman (Genres: Comedy, Drama, Romance; Language: it; Overview: Italian postman discovers poetry, impresses Beatrice while delivering mail.),Movie 150: Apollo 13 (Genres: Drama; Language: en; Overview: Apollo 13 faces technical troubles; astronauts and crew demonstrate heroism.),Movie 266: Legends of the Fall (Genres: Adventure, Drama, Romance, War; Language: en; Overview: Three brothers and father navigate life, love, and nature's challenges.),Movie 296: Pulp Fiction (Genres: Thriller, Crime; Language: en; Overview: Burger-loving hitman, partner, gangster's moll, boxer in comedic crime caper.),Movie 349: Clear and Present Danger (Genres: Action, Drama, Thriller; Language: en; Overview: CIA Analyst Jack Ryan confronts an illegal war against drug cartels.),Movie 480: Jurassic Park (Genres: Adventure, Science Fiction; Language: en; Overview: Entrepreneur's dinosaur theme park fails; dinosaurs escape, chaos ensues.),Movie 2028: Saving Private Ryan (Genres: Drama, History, War; Language: en; Overview: Ranger captain leads men to rescue brother behind enemy lines.),Movie 2396: Shakespeare in Love (Genres: Romance, History; Language: en; Overview: Shakespeare's unwritten comedy transforms into tragedy through forbidden love.),Movie 2692: Run Lola Run (Genres: Action, Drama, Thriller; Language: de; Overview: Lola must quickly raise money to save Manni from danger.),Movie 3267: El Mariachi (Genres: Action, Crime, Thriller; Language: es; Overview: El Mariachi is mistaken for a killer in dangerous town.)",,
10,"Movie 750: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Genres: Drama, Comedy, War; Language: en; Overview: General Ripper's nuclear strike prompts frantic efforts to prevent disaster.),Movie 1023: Winnie the Pooh and the Blustery Day (Genres: Animation, Family, Music; Language: en; Overview: Winnie the Pooh and friends face storms and flooding together.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 1654: FairyTale: A True Story (Genres: Fantasy, Drama, Mystery, Family; Language: en; Overview: Children's 1917 photo claimed to be first evidence of fairies.),Movie 2193: Willow (Genres: Adventure, Drama, Action; Language: en; Overview: Evil queen imprisons pregnant women; baby Elora escapes with Willow.),Movie 2431: Patch Adams (Genres: Comedy, Drama; Language: en; Overview: Patch Adams: unconventional doctor using humor to heal patients.),Movie 2717: Ghostbusters II (Genres: Comedy, Fantasy; Language: en; Overview: Ghostbusters return to help Dana with new ghostly threats.),Movie 3347: Never Cry Wolf (Genres: Action, Adventure, Drama; Language: en; Overview: Farley Mowat discovers wolves' true role in the ecosystem.),Movie 3447: The Good Earth (Genres: Drama; Language: en; Overview: Humble farmer struggles for land ownership in challenging circumstances.),Movie 3928: Abbott and Costello Meet Frankenstein (Genres: Comedy, Horror; Language: en; Overview: Two freight handlers encounter Dracula, Frankenstein, and the Wolf Man.)",,
15,"Movie 104: Happy Gilmore (Genres: Comedy; Language: en; Overview: Failed hockey player Happy Gilmore seeks golf victory to save granny.),Movie 260: Star Wars (Genres: Adventure, Action, Science Fiction; Language: en; Overview: Leia is captured; Luke and Han rescue her and restore peace.),Movie 527: Schindler's List (Genres: Drama, History, War; Language: en; Overview: Oskar Schindler saved over a thousand Jewish lives in WWII.),Movie 1193: One Flew Over the Cuckoo's Nest (Genres: Drama; Language: en; Overview: Randle McMurphy inspires mental hospital patients to rebel against Ratched.),Movie 2028: Saving Private Ryan (Genres: Drama, History, War; Language: en; Overview: Ranger captain leads men to rescue brother behind enemy lines.),Movie 2268: A Few Good Men (Genres: Drama; Language: en; Overview: Military lawyers uncover hazing implicating high-ranking officials in murder case.),Movie 2571: The Matrix (Genres: Action, Science Fiction; Language: en; Overview: In the 22nd century, a hacker joins rebels against computers.),Movie 2683: Austin Powers: The Spy Who Shagged Me (Genres: Adventure, Comedy, Crime, Science Fiction; Language: en; Overview: Austin Powers travels to the '60s to stop Dr. Evil.),Movie 3108: The Fisher King (Genres: Comedy, Drama; Language: en; Overview: Two troubled men seek the Holy Grail to redeem themselves.),Movie 3489: Hook (Genres: Adventure, Fantasy, Comedy, Family; Language: en; Overview: Peter Pan becomes a lawyer; Hook kidnaps his children, redemption follows.)",,
17,"Movie 32: Twelve Monkeys (Genres: Science Fiction, Thriller, Mystery; Language: en; Overview: James Cole time travels to uncover a deadly virus's origin.),Movie 527: Schindler's List (Genres: Drama, History, War; Language: en; Overview: Oskar Schindler saved over a thousand Jewish lives in WWII.),Movie 750: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Genres: Drama, Comedy, War; Language: en; Overview: General Ripper's nuclear strike prompts frantic efforts to prevent disaster.),Movie 1129: Escape from New York (Genres: Science Fiction, Action; Language: en; Overview: Manhattan prison holds criminals; soldier Snake Plissken must rescue President.),Movie 2140: The Dark Crystal (Genres: Fantasy; Language: en; Overview: Gelfling seeks crystal shard to restore order and defeat Skeksis.),Movie 2355: A Bug's Life (Genres: Adventure, Animation, Comedy, Family; Language: en; Overview: Ant Flik recruits warrior bugs to protect colony from grasshoppers.),Movie 2527: Westworld (Genres: Action, Adventure, Drama, Horror, Science Fiction, Thriller, Western; Language: en; Overview: Wealthy patrons experience fantasies; chaos ensues with rogue robot.),Movie 3175: Galaxy Quest (Genres: Comedy, Family, Science Fiction; Language: en; Overview: 1970s sci-fi stars help aliens against oppressive regime in space.),Movie 3700: The Brother from Another Planet (Genres: Comedy, Drama, Science Fiction; Language: en; Overview: Alien slave crashes in NYC, pursued by bounty hunters; immigrant parallels.),Movie 3879: The Art of War (Genres: Crime, Action, Adventure; Language: en; Overview: Terrorists frame expert Shaw; he must prevent World War III.)",,
18,"Movie 902: Breakfast at Tiffany's (Genres: Comedy, Drama, Romance; Language: en; Overview: Holly and Paul fall in love; her past complicates romance.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 1654: FairyTale: A True Story (Genres: Fantasy, Drama, Mystery, Family; Language: en; Overview: Children's 1917 photo claimed to be first evidence of fairies.),Movie 2021: Dune (Genres: Action, Science Fiction, Adventure; Language: en; Overview: War for Dune's Spice leads to betrayal and power struggles.),Movie 2140: The Dark Crystal (Genres: Fantasy; Language: en; Overview: Gelfling seeks crystal shard to restore order and defeat Skeksis.),Movie 2193: Willow (Genres: Adventure, Drama, Action; Language: en; Overview: Evil queen imprisons pregnant women; baby Elora escapes with Willow.),Movie 2294: Antz (Genres: Adventure, Animation, Comedy, Family; Language: en; Overview: Ant switches places, joins parade, fights against termite army.),Movie 2355: A Bug's Life (Genres: Adventure, Animation, Comedy, Family; Language: en; Overview: Ant Flik recruits warrior bugs to protect colony from grasshoppers.),Movie 3108: The Fisher King (Genres: Comedy, Drama; Language: en; Overview: Two troubled men seek the Holy Grail to redeem themselves.),Movie 3489: Hook (Genres: Adventure, Fantasy, Comedy, Family; Language: en; Overview: Peter Pan becomes a lawyer; Hook kidnaps his children, redemption follows.)",,
19,"Movie 32: Twelve Monkeys (Genres: Science Fiction, Thriller, Mystery; Language: en; Overview: James Cole time travels to uncover a deadly virus's origin.),Movie 330: Tales from the Hood (Genres: Crime, Horror, Thriller; Language: en; Overview: Funeral director shares eerie tales with trapped drug dealers.),Movie 1197: The Princess Bride (Genres: Adventure, Family, Fantasy, Comedy, Romance; Language: en; Overview: Princess Buttercup and Westley face challenges for true love's triumph.),Movie 1258: The Shining (Genres: Horror, Thriller; Language: en; Overview: Jack Torrance takes a winter caretaker job, facing unseen madness.),Movie 2502: Office Space (Genres: Comedy, Crime; Language: en; Overview: Three workers plot to embezzle money from their employers.),Movie 2683: Austin Powers: The Spy Who Shagged Me (Genres: Adventure, Comedy, Crime, Science Fiction; Language: en; Overview: Austin Powers travels to the '60s to stop Dr. Evil.),Movie 2707: Arlington Road (Genres: Drama, Thriller, Mystery; Language: en; Overview: College professor's paranoia escalates with unsettling new neighbors' arrival.),Movie 2717: Ghostbusters II (Genres: Comedy, Fantasy; Language: en; Overview: Ghostbusters return to help Dana with new ghostly threats.),Movie 2836: Outside Providence (Genres: Romance, Comedy, Drama; Language: en; Overview: Tim's life changes at prep school after meeting Jane.),Movie 2976: Bringing Out the Dead (Genres: Drama; Language: en; Overview: Burnt-out paramedic struggles with guilt and seeks escape from duties.)",,
23,"Movie 750: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Genres: Drama, Comedy, War; Language: en; Overview: General Ripper's nuclear strike prompts frantic efforts to prevent disaster.),Movie 1129: Escape from New York (Genres: Science Fiction, Action; Language: en; Overview: Manhattan prison holds criminals; soldier Snake Plissken must rescue President.),Movie 1222: Full Metal Jacket (Genres: Drama, War; Language: en; Overview: Marine observes dehumanization of recruits during Vietnam War experiences.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 1258: The Shining (Genres: Horror, Thriller; Language: en; Overview: Jack Torrance takes a winter caretaker job, facing unseen madness.),Movie 1306: Until the End of the World (Genres: Thriller, Drama, Science Fiction, Action; Language: de; Overview: Modern odyssey restores sight between father and son through technology.),Movie 1958: Terms of Endearment (Genres: Drama, Comedy; Language: en; Overview: Mother and daughter navigate life's challenges and relationships over years.),Movie 2712: Eyes Wide Shut (Genres: Mystery, Drama; Language: en; Overview: Dr. Bill explores erotic fantasies, joining an overwhelming underground group.),Movie 3052: Dogma (Genres: Fantasy, Comedy, Adventure; Language: en; Overview: Good and Evil clash in late 20th century New Jersey.),Movie 3740: Big Trouble in Little China (Genres: Action, Adventure, Comedy, Fantasy; Language: en; Overview: Trucker Jack battles sorcerer Lo Pan for Wang's green-eyed fiancée.)",,
24,"Movie 527: Schindler's List (Genres: Drama, History, War; Language: en; Overview: Oskar Schindler saved over a thousand Jewish lives in WWII.),Movie 1197: The Princess Bride (Genres: Adventure, Family, Fantasy, Comedy, Romance; Language: en; Overview: Princess Buttercup and Westley face challenges for true love's triumph.),Movie 1394: Raising Arizona (Genres: Comedy, Crime; Language: en; Overview: Coen Brothers' absurd family story features a baby kidnapping chase.),Movie 1958: Terms of Endearment (Genres: Drama, Comedy; Language: en; Overview: Mother and daughter navigate life's challenges and relationships over years.),Movie 1959: Out of Africa (Genres: Drama; Language: en; Overview: Danish author Karen Blixen's life in Africa, 20th century.),Movie 2797: Big (Genres: Fantasy, Drama, Comedy, Romance, Family; Language: en; Overview: Boy wishes to be big, wakes up as adult overnight.),Movie 2836: Outside Providence (Genres: Romance, Comedy, Drama; Language: en; Overview: Tim's life changes at prep school after meeting Jane.),Movie 2918: Ferris Bueller's Day Off (Genres: Comedy; Language: en; Overview: Ferris Bueller skips school in Chicago with friends and girlfriend.),Movie 3129: Sweet and Lowdown (Genres: Comedy, Drama; Language: en; Overview: Comedic biopic about Emmett Ray, a flawed genius jazz guitarist.),Movie 3175: Galaxy Quest (Genres: Comedy, Family, Science Fiction; Language: en; Overview: 1970s sci-fi stars help aliens against oppressive regime in space.)",,
33,"Movie 508: Philadelphia (Genres: Drama; Language: en; Overview: Two lawyers unite against AIDS discrimination, overcoming prejudice and corruption.),Movie 581: The Celluloid Closet (Genres: History, Documentary; Language: en; Overview: Documentary explores LGBT representation evolution and societal perceptions in cinema.),Movie 1103: Rebel Without a Cause (Genres: Drama; Language: en; Overview: Teen Jim Stark faces challenges after moving, including love, conflict.),Movie 1240: The Terminator (Genres: Action, Thriller, Science Fiction; Language: en; Overview: Cyborg assassin sent to kill Sarah Connor; resistance fights back.),Movie 1258: The Shining (Genres: Horror, Thriller; Language: en; Overview: Jack Torrance takes a winter caretaker job, facing unseen madness.),Movie 1272: Patton (Genres: Drama, History, War; Language: en; Overview: ""Patton"" depicts the general's WWII exploits and personal flaws.),Movie 1300: My Life as a Dog (Genres: Drama, Comedy; Language: sv; Overview: Brothers are separated to help their ill mother rest.),Movie 1517: Austin Powers: International Man of Mystery (Genres: Science Fiction, Comedy, Crime; Language: en; Overview: Austin Powers, '60s spy, battles Dr. Evil with Vanessa's help.),Movie 2109: The Jerk (Genres: Comedy; Language: en; Overview: Navin Johnson's comedic journey explores identity, riches, and true love.),Movie 2650: The Ghost of Frankenstein (Genres: Fantasy, Horror, Science Fiction; Language: en; Overview: Ygor revives Frankenstein's monster; Ludwig plans restoration, unaware of danger.)",,
