user_id,groundtruth,top10_recommendations
4,"[770, 1156, 933, 327, 458, 1038, 723, 22, 1624, 986, 572]","[218, 2017, 2419, 495, 1817, 986, 2312, 1447, 787, 2409]"
7,"[1380, 996, 359, 1096, 298, 364, 1932, 17, 1554, 379, 1012, 341, 1906, 1047, 1883]","[206, 1669, 382, 341, 830, 780, 165, 31, 1817, 1810]"
9,"[1, 778, 1419, 1554, 1171, 1429, 1177, 1691, 795, 2208, 1696, 1458, 829, 1470, 1089, 842, 205, 845, 213, 341, 1238, 1240, 1244, 222, 1889, 231, 1383, 1513, 1514, 1259, 748, 1515, 878, 751, 622, 506, 379, 383]","[573, 845, 2130, 205, 165, 780, 1244, 379, 1855, 66]"
14,"[930, 168, 1449, 1451, 1709, 309, 1205, 1206, 975, 338, 2144, 738, 1635, 100, 357, 2151, 231, 748, 382, 895]","[1885, 856, 1451, 1669, 383, 231, 382, 165, 245, 1470]"
16,"[191, 930, 1220, 1156, 453, 778, 2060, 1836, 975, 1394, 1906, 2291, 309, 403, 730, 1435, 765, 1215]","[765, 739, 780, 1810, 670, 541, 1584, 474, 1784, 740]"
17,"[0, 1281, 6, 1926, 2077, 1183, 930, 1327, 1205, 1207, 1210, 1219, 1361, 594, 1621, 739, 356, 359, 1260, 1261, 624, 1012, 1656, 1274]","[780, 1554, 1205, 1926, 309, 739, 206, 1451, 1885, 738]"
18,"[1154, 806, 2151, 12, 462, 751, 753, 1042, 1778, 817, 245, 1719, 794, 1179, 1981]","[1205, 1584, 938, 1926, 165, 1629, 765, 748, 204, 542]"
22,"[1600, 1216, 930, 738, 1251, 1317, 742, 778, 842, 1394, 121, 954, 379, 1691, 541, 1215]","[541, 2165, 206, 379, 738, 359, 165, 189, 780, 1554]"
23,"[1251, 740, 806, 1030, 1687, 1866, 1451, 843, 2125, 878, 569, 830, 1618, 754, 791, 985, 986, 382]","[830, 1004, 2090, 856, 1696, 1451, 1055, 1317, 1030, 218]"
32,"[1669, 1546, 780, 1806, 657, 1942, 665, 667, 669, 541, 2087, 2215, 1202, 1205, 2363, 830, 1727, 1602, 1861, 206, 1496, 91, 2269, 2143, 359, 746, 1777, 1906, 2034, 755, 2303]","[777, 765, 1205, 1826, 2284, 541, 759, 770, 1778, 2090]"
33,"[0, 672, 738, 2392, 739, 745, 1609, 624, 1299, 1205, 1687, 1688, 1561, 1470]","[85, 1154, 1208, 1389, 1004, 1205, 136, 245, 222, 1871]"
34,"[1344, 768, 26, 1092, 567, 2182, 1731, 1451, 76, 845, 1390, 1650, 695, 760, 730, 2268, 2046, 1791]","[768, 541, 760, 478, 780, 737, 572, 574, 189, 670]"
35,"[0, 2307, 1925, 1926, 1927, 2184, 1417, 1157, 1935, 16, 20, 663, 1178, 667, 1180, 796, 2334, 155, 289, 417, 2339, 299, 695, 1848, 1980, 1469, 1473, 325, 1866, 722, 1880, 2009, 1498, 863, 1631, 100, 357, 231, 2153, 1644, 2284, 748, 108, 376, 2046]","[206, 165, 740, 1451, 1669, 379, 1206, 1881, 31, 2090]"
41,"[800, 738, 578, 226, 1926, 841, 2185, 778, 1836, 1617, 594, 1777, 2130, 791, 794, 123, 349, 382]","[1205, 165, 379, 1554, 1208, 309, 738, 740, 1836, 2125]"
43,"[1760, 739, 356, 1669, 1642, 1451, 204, 2314, 753, 1459, 756, 2074, 794, 157, 1215]","[1451, 165, 1926, 739, 231, 1470, 2339, 2172, 205, 206]"
44,"[32, 1092, 454, 2215, 1482, 2219, 780, 1359, 624, 2353, 1842, 594, 1878, 1977, 570]","[845, 1470, 232, 383, 347, 12, 581, 1288, 574, 1609]"
48,"[737, 98, 1410, 1668, 738, 1225, 2285, 944, 1591, 1880, 183, 123, 1756]","[261, 1149, 1969, 2339, 1211, 765, 1554, 165, 748, 1584]"
52,"[1030, 524, 13, 24, 1079, 1093, 2153, 119, 1659, 124, 1154, 1668, 1675, 146, 1170, 148, 1178, 1179, 667, 1183, 2210, 167, 184, 193, 1217, 1220, 1735, 204, 2259, 218, 2272, 231, 744, 746, 1259, 2284, 1773, 237, 755, 1782, 1790, 1281, 774, 2312, 787, 279, 796, 288, 1836, 1326, 316, 318, 324, 329, 331, 1875, 1877, 342, 858, 349, 1380, 2409, 1911, 379, 906, 926, 930, 1450, 1970, 1978, 975, 464, 1496, 1516, 2035, 1014, 1019]","[765, 1554, 379, 748, 68, 165, 359, 1220, 670, 1866]"
57,"[768, 770, 2306, 1413, 390, 1926, 1806, 1554, 19, 22, 663, 1687, 26, 674, 930, 1321, 426, 1451, 433, 1978, 2235, 189, 2431, 1868, 594, 850, 1877, 987, 989, 349, 1758, 739, 2406, 1257, 364, 1776, 1911, 1784, 1274, 1021, 895]","[765, 780, 541, 478, 740, 1554, 739, 737, 349, 22]"
58,"[768, 770, 742, 167, 574, 393, 1608, 670, 12, 1162, 782, 728, 795, 733, 2046]","[1907, 976, 760, 768, 567, 784, 574, 541, 1012, 632]"
61,"[1152, 2049, 2433, 771, 1408, 1669, 640, 17, 1047, 1179, 669, 798, 31, 1706, 2220, 566, 1980, 574, 576, 1731, 1861, 1734, 2375, 1225, 589, 1496, 2271, 737, 1389, 750, 2031, 885, 895]","[761, 830, 191, 2049, 737, 1347, 91, 382, 856, 541]"
64,"[0, 770, 2314, 1554, 1816, 1176, 670, 1695, 418, 1974, 1988, 1361, 338, 850, 594, 1629, 1248, 1906, 383]","[1205, 1211, 1776, 2165, 309, 765, 837, 1778, 1554, 850]"
72,"[778, 1554, 1944, 1049, 1448, 1064, 299, 1326, 943, 1202, 954, 2108, 1983, 705, 1237, 1642, 755, 244, 627]","[2339, 1584, 1554, 2165, 309, 165, 748, 627, 1124, 204]"
74,"[356, 1157, 1287, 9, 1449, 1036, 1260, 1711, 433, 434, 1297, 405, 373, 505, 1914, 1723, 924]","[2222, 2339, 6, 2363, 205, 1211, 318, 1885, 1448, 1124]"
77,"[1569, 356, 2182, 1419, 364, 621, 884, 148, 1974, 1916, 573, 190, 1055]","[2312, 1868, 632, 218, 760, 12, 566, 145, 1810, 667]"
80,"[165, 745, 1322, 139, 2090, 784, 596, 759, 857, 478]","[478, 541, 577, 768, 572, 784, 770, 1257, 1776, 750]"
81,"[418, 1861, 1927, 2154, 1644, 975, 309, 22, 1975, 856, 506]","[1885, 1211, 245, 1907, 1451, 165, 856, 341, 1225, 975]"
