User 1447: [(403, 0.98792624), (1880, 0.98271817), (665, 0.9815828), (1760, 0.9775968), (506, 0.97525036), (1301, 0.97442335), (29, 0.97190094), (1179, 0.9709298), (1691, 0.9691279), (1974, 0.96683)]
User 3642: [(1451, 0.8757673), (1624, 0.7292433), (91, 0.60450596), (574, 0.39643237), (134, 0.09603579), (1639, 0.08477498), (1250, 0.062180154), (397, 0.011194313)]
User 3017: [(780, 0.9908958), (850, 0.98983496), (341, 0.9809656), (754, 0.9801962), (1327, 0.97728777), (975, 0.973789), (776, 0.9730609), (2053, 0.9706261), (739, 0.9661981), (1225, 0.96596575)]
User 1085: [(1554, 0.99955183), (765, 0.9963121), (930, 0.98855686), (0, 0.9884206), (1205, 0.9879764), (22, 0.98529565), (1866, 0.98463297), (1687, 0.98458546), (1030, 0.9844827), (1784, 0.9827229)]
User 3506: [(780, 0.99308634), (1451, 0.98772484), (740, 0.9849828), (748, 0.98341584), (341, 0.98175263), (739, 0.98135585), (738, 0.98130405), (989, 0.97817653), (755, 0.9735333), (774, 0.9711435)]
User 1737: [(1889, 0.95826876), (1927, 0.9546136), (1449, 0.9415085), (627, 0.939511), (1687, 0.9210784), (462, 0.688778), (1610, 0.6875807), (1854, 0.4555073), (203, 0.29207063), (1888, 0.28985003)]
User 1500: [(1584, 0.9977075), (780, 0.99446964), (165, 0.99016845), (1459, 0.9866263), (938, 0.98362225), (740, 0.979152), (1311, 0.9782894), (1210, 0.9736143), (237, 0.9727021), (1669, 0.9696177)]
User 4949: [(1554, 0.9951852), (1225, 0.983175), (754, 0.96133024), (2049, 0.9195734), (1010, 0.91150063), (1842, 0.8827777), (798, 0.85304046), (768, 0.8507064), (1866, 0.79382014), (144, 0.78721154)]
User 3968: [(1554, 0.99400324), (1417, 0.98630244), (627, 0.98453313), (93, 0.96931463), (850, 0.9490706), (1202, 0.94610524), (1784, 0.92767143), (989, 0.92273235), (2082, 0.91815335), (665, 0.91192377)]
User 2184: [(756, 0.9976326), (760, 0.99413115), (2312, 0.9898734), (737, 0.9883631), (624, 0.9879628), (2259, 0.9872142), (1859, 0.9869307), (2097, 0.9854635), (739, 0.9850027), (753, 0.9824448)]
User 559: [(2165, 0.9741623), (1220, 0.9580211), (204, 0.9572557), (1554, 0.9467325), (1867, 0.9002234), (755, 0.8873425), (1911, 0.8839718), (6, 0.80601716), (2082, 0.5040158), (1624, 0.47999892)]
User 3264: [(379, 0.99598193), (165, 0.9932928), (309, 0.9872115), (541, 0.9857307), (1451, 0.98416674), (2090, 0.97343475), (803, 0.9635584), (817, 0.955662), (2144, 0.95554715), (1885, 0.93145394)]
User 4790: [(165, 0.99406695), (382, 0.98654175), (850, 0.9846283), (1669, 0.97725004), (309, 0.97008646), (1205, 0.9699702), (794, 0.958876), (791, 0.90904707), (1327, 0.8736024), (924, 0.8613777)]
User 3525: [(627, 0.9790162), (765, 0.9609906), (1206, 0.93821275), (1591, 0.9297468), (739, 0.92820007), (1370, 0.9255349), (1459, 0.9238926), (226, 0.9235092), (1208, 0.92127764), (31, 0.9199871)]
User 3031: [(280, 0.99757034), (1885, 0.99244225), (1464, 0.984853), (1436, 0.9845806), (1462, 0.98003036), (972, 0.9793835), (1216, 0.97879285), (279, 0.9774954), (1531, 0.97652173), (990, 0.9759109)]
User 1612: [(627, 0.9984971), (778, 0.99657345), (382, 0.99405587), (975, 0.9938636), (755, 0.993356), (794, 0.9930099), (1975, 0.9926347), (1451, 0.9922057), (189, 0.9914955), (1361, 0.9913613)]
User 342: [(829, 0.98214704), (379, 0.9718022), (2339, 0.9610166), (740, 0.95575184), (1389, 0.9557317), (1419, 0.9375649), (1926, 0.9371854), (845, 0.93486714), (841, 0.92995965), (2392, 0.92514205)]
User 4582: [(954, 0.98261386), (843, 0.98006916), (121, 0.97333175), (1975, 0.9697468), (379, 0.9679204), (627, 0.96783584), (1636, 0.9671503), (2344, 0.95963717), (68, 0.9509296), (280, 0.9493377)]
User 1149: [(1861, 0.9980331), (2270, 0.9979321), (1251, 0.99781823), (1827, 0.99685246), (2161, 0.99630934), (2259, 0.9960675), (165, 0.9949812), (738, 0.99446636), (803, 0.99310464), (1173, 0.99277276)]
User 2263: [(781, 0.90854037), (740, 0.90452623), (231, 0.8884373), (738, 0.8861418), (794, 0.87530005), (765, 0.8726208), (379, 0.86796093), (347, 0.8635545), (739, 0.85932994), (748, 0.82584167)]
User 4761: [(341, 0.9804357), (478, 0.9801394), (567, 0.9681806), (541, 0.9504792), (566, 0.9469155), (776, 0.94279784), (748, 0.93963003), (379, 0.93301404), (2312, 0.9099288), (583, 0.90826607)]
User 2293: [(765, 0.98038006), (770, 0.9799683), (670, 0.9641983), (1171, 0.8615168), (857, 0.85534257), (767, 0.7400982), (573, 0.72511375), (568, 0.3731613), (1216, 0.26994795), (1598, 0.10846971)]
User 5469: [(541, 0.9616278), (1777, 0.91155654), (1584, 0.9086078), (1778, 0.8820057), (2165, 0.8682419), (2053, 0.85090363), (1459, 0.8124575), (1806, 0.6986633), (1691, 0.57900697), (403, 0.55413175)]
User 1128: [(1205, 0.9784812), (1584, 0.9759176), (803, 0.9645198), (753, 0.95957947), (1157, 0.9465452), (1691, 0.9398518), (1926, 0.93760014), (1906, 0.925528), (1380, 0.86353797), (1777, 0.8353699)]
User 3255: [(231, 0.96793044), (1225, 0.9558908), (2339, 0.9499977), (1784, 0.9120659), (753, 0.8816342), (2358, 0.3113131), (311, 0.1482321), (1847, 0.11997689), (2210, 0.042658903), (510, 0.042651657)]
User 2697: [(738, 0.9682559), (764, 0.82681966), (575, 0.8195681), (1350, 0.81325513), (1182, 0.8122271), (587, 0.421805), (788, 0.22492182), (1117, 0.01781299), (473, 0.0003472503), (200, 6.21871e-05)]
User 4963: [(382, 0.9805762), (31, 0.97237486), (165, 0.9328091), (738, 0.9128415), (1848, 0.85828817), (1055, 0.8129971), (2090, 0.7642023), (930, 0.7473297), (779, 0.5294953), (1980, 0.4897852)]
User 3373: [(740, 0.9899222), (572, 0.9816342), (857, 0.973892), (774, 0.9478606), (1906, 0.9445351), (768, 0.9271351), (91, 0.9197185), (762, 0.8780435), (2285, 0.82120514), (1756, 0.8145357)]
User 1925: [(780, 0.9740853), (740, 0.96823454), (578, 0.9601544), (760, 0.95579356), (349, 0.9512897), (382, 0.94811827), (748, 0.9312491), (798, 0.899447), (26, 0.89701855), (2093, 0.89413667)]
User 2040: [(341, 0.9889187), (0, 0.9870897), (347, 0.98145455), (206, 0.9804565), (1183, 0.98029286), (309, 0.977742), (1669, 0.9776538), (850, 0.9752858), (1380, 0.9684704), (1687, 0.9680872)]
User 1523: [(1584, 0.98247355), (26, 0.96726483), (1389, 0.96300805), (780, 0.960639), (748, 0.9568013), (1380, 0.9160764), (1784, 0.91458267), (1944, 0.89418626), (738, 0.8865985), (843, 0.8841194)]
