user_id,top10_recommendations,groundtruth
1448,"[593, 2918, 1196, 1265, 260, 1097, 2797, 50, 1240, 1961]","[1573, 3358, 3498, 271, 376, 2751, 424, 1042, 1240, 1206, 50, 3702, 357, 3211, 62, 1732, 2866, 39, 3189, 288, 1610, 1272, 3053, 2531, 2976, 2912, 2146, 2410, 3087, 1228, 3703, 1221, 2188, 1103, 46, 104, 3251, 3704, 346, 1921, 3255, 2019, 2774, 471, 3006, 117, 678, 628, 3169, 2501, 1730, 707, 2263, 2797, 1611, 1500, 585, 3203, 455, 551, 1961, 354, 647, 2247, 1293, 1091, 2532, 2683, 2435, 3101, 538, 1466, 2959, 3714, 4, 3858, 1589, 78, 1092, 802, 2918, 3755, 2125, 858, 316, 141, 529, 3259, 2852, 593, 1097, 3420, 2109, 1513, 3081, 3735, 2312, 2124, 247, 1379]"
3018,"[1270, 1136, 1197, 2918, 1387, 2194, 1291, 2028, 3471, 1220]","[1387, 1358, 1291, 3543, 10, 3060, 2144, 2659, 3928, 1249, 1704, 3827, 2344, 2476, 2028, 373, 1285, 1130, 3169, 2991, 1610, 1395, 2268, 356, 527, 3090, 2405, 3366, 1230, 3397, 861, 2243, 3018, 544, 2150, 1639, 2403, 3263, 2248, 1286, 2058, 1270, 2312, 1722, 3715, 555, 235, 2797, 2108, 2194, 3255, 1, 2174, 1393, 1215, 1197, 3763, 21, 2402, 3102, 1221, 3444, 1136, 2628, 1262]"
3507,"[1198, 1196, 1270, 1197, 527, 1265, 1210, 589, 750, 1222]","[1914, 1641, 1210, 3091, 536, 2502, 2005, 527, 1701, 1247, 2736, 471, 1262, 428, 1217, 3730, 750, 1304, 1258, 1196, 1254, 1095, 1103, 333, 1198, 778, 1207, 2002, 2942, 3062, 1148, 180, 2686, 2396, 458, 272, 266, 926, 3608, 1261, 3098, 1197, 3174, 2944, 597, 1299, 1222, 257, 1270, 3219, 112, 1449, 3683]"
1501,"[1270, 1198, 260, 1036, 1265, 1610, 2406, 593, 2762, 590]","[1012, 1876, 1544, 2083, 637, 1588, 1870, 1463, 2889, 2762, 2161, 2406, 1230, 368, 1689, 2353, 2872, 1270, 2005, 1079, 2294, 2598, 3585, 2109, 2628, 3020, 3809, 2295, 3243, 2174, 2736, 2761, 1198, 1057, 991, 5, 1894, 2826, 2098, 3759, 3836, 150, 2335, 1005, 709, 260, 558, 3916]"
2185,"[858, 1196, 1394, 1197, 1270, 1230, 1221, 1304, 2918, 1097]","[1953, 3114, 1209, 1220, 3675, 3097, 1914, 1042, 3751, 3095, 926, 936, 858, 1299, 2019, 348, 1694, 1250, 1230, 1952, 3671, 2746, 1028, 2108, 1180, 1193, 1206, 1885, 1223, 3067, 1171, 3429, 1212, 1197]"
3032,"[1210, 1291, 2918, 2797, 1197, 589, 2194, 1265, 2028, 1136]","[394, 3424, 1601, 2315, 1422, 352, 2064, 3247, 3552, 476, 296, 2368, 2111, 2263, 2471, 3388, 2134, 2051, 2413, 3107, 891, 2944, 1977, 1957, 2530, 1961, 1020, 589, 3255, 1856, 1590, 1661, 2012, 3919, 3917, 410, 2291, 1028, 1291, 2513, 1007, 1953, 100, 2793, 3114, 1517, 2746, 1191, 3169, 374, 1870, 3153, 434, 1513, 2312, 858, 1997, 3673, 426, 366, 2902, 1729, 2120, 2115, 2412, 1727, 3760, 1707, 1644, 1623, 2403, 2989, 2338, 3399, 2042, 2955, 1965, 3614, 435, 3671, 2638, 3782, 2410, 257, 2533, 2551, 1222, 60, 2194, 2405, 2378, 920, 1836, 3809, 1290, 3774, 432, 1606, 3, 2350, 1840, 3674, 520, 2852]"
1613,"[296, 593, 1036, 1265, 1291, 1610, 3471, 1704, 1079, 590]","[2692, 3253, 3363, 2671, 1610, 2174, 1265, 3397, 2139, 2947, 1953, 593, 3508, 1080, 2819, 2396, 3608, 2268, 1012, 2912, 1222, 2371, 2413, 2003, 2746, 2997, 1732, 333, 2295, 1293, 2989, 3157, 1834, 1449, 3868, 1704, 2991, 2739, 500, 1276, 3793, 2076, 1701, 1246, 2921, 1230, 1025, 3551, 1653, 562, 2115, 2686, 1527, 3624, 1394, 1036, 1840, 296, 2011, 3256, 2683, 2005, 2524, 1663, 1207, 1003, 1594, 3471, 1291, 3361, 1079]"
4585,"[260, 1198, 589, 1210, 1036, 1291, 2000, 2028, 2762, 593]","[288, 3802, 196, 593, 3418, 70, 1377, 434, 387, 3175, 589, 204, 1690, 3256, 661, 2551, 3681, 2788, 2762, 42, 2672, 223, 1573, 1358, 1047, 253, 1036, 1769, 3471, 1920, 60, 2692, 2710, 112, 2004, 1834]"
5473,"[589, 1197, 1387, 858, 480, 296, 527, 1, 1136, 2918]","[2948, 2949, 2797, 858, 2406, 2991, 3527, 3366, 2628, 628]"
4967,"[593, 50, 2762, 1196, 2571, 1198, 260, 1704, 1265, 858]","[1747, 260, 50, 308, 203, 1196, 1527, 3263, 593, 3052]"
2041,"[318, 1097, 527, 1265, 1, 1240, 2762, 2028, 1036, 356]","[1957, 1171, 3751, 2791, 3536, 3152, 1694, 2145, 527, 1777, 955, 1302, 2181, 1732, 923, 300, 1747, 1285, 2291, 2968, 539, 2501, 480, 1682, 3730, 249, 1103, 2357, 307, 1221, 3911, 2424, 2393, 318, 477, 705, 2872, 2762, 2804, 337, 314, 3255, 1387, 1, 1288, 1372, 161, 1902, 3175, 1968, 1834, 3510]"
1524,"[1196, 318, 1270, 1210, 1036, 589, 1197, 1, 1265, 50]","[3897, 39, 273, 253, 2797, 2080, 1196, 1089, 539, 70, 2424, 1729, 1270, 2628, 2291, 3173, 1210, 1998, 1377, 2959, 3755, 3911]"
692,"[1196, 260, 1197, 2918, 2028, 1210, 2194, 1307, 3471, 1394]","[477, 3175, 1196, 2011, 2797, 2540, 2352, 10, 272, 300, 3301, 648, 3863, 2312, 3897, 1600, 265, 1271, 1729, 647, 2628, 3114, 1206, 1719, 2359, 2859, 2761, 3361, 2297, 3317, 3618, 1722, 1197, 2791, 280, 778, 2692, 2006, 260, 1092, 1866, 337, 1247, 112, 2959, 1094, 1372, 3624, 1193, 2110, 62, 3420, 2990, 380, 2028, 3072, 3793, 1120, 1210, 1333, 2144, 2949, 1129]"
5359,"[1196, 2571, 318, 1270, 1036, 1197, 589, 1291, 50, 1610]","[2989, 1686, 2353, 1036, 2005, 2077, 1500, 170, 1682, 50, 2141, 358, 2712, 1270, 1503, 3793, 2571, 3677, 2409, 1394, 2396, 3825, 2997, 3005, 1291, 2, 164, 609, 434, 745, 3299, 589, 318, 1193, 349, 3267, 1197, 3489, 2707, 1258, 32, 3915, 1196, 3916, 3897, 3173, 480, 1923]"
5744,"[1196, 1307, 1136, 2918, 1, 2797, 527, 1079, 2571, 858]","[2686, 1945, 2037, 3105, 3174, 708, 2866, 21, 955, 1196, 852, 539, 1544, 935, 1281, 1286, 2918, 3259, 232, 2108, 799, 905, 2857, 3033, 2469, 1028, 3552, 1136, 932, 2115, 914, 2870, 553, 2533, 3614, 2997]"
1442,"[2571, 1198, 318, 1240, 1136, 1097, 50, 1197, 1210, 1270]","[1206, 2355, 1097, 3751, 2571, 902, 1175, 3863, 3300, 2532, 923, 2761, 232, 661, 2046, 3704]"
1124,"[1198, 1196, 858, 1387, 1220, 527, 1, 750, 1610, 1304]","[3253, 1245, 1380, 2471, 1, 1997, 674, 180, 1610, 3114, 924, 235, 2861, 1304, 3175, 1193, 2005, 1704, 1639, 1387, 858, 1198, 2872, 3210, 2263, 3254, 2788]"
1943,"[1136, 1198, 1270, 1240, 1307, 589, 541, 2396, 3471, 1221]","[1377, 3358, 3623, 1573, 2359, 2533, 1485, 180, 3363, 908, 2712, 2004, 1883, 164, 1760, 3821, 2134, 2248, 3740, 305, 2567, 1704, 3147, 70, 493, 1220, 2065, 1198, 2115, 1517, 3897, 3868, 2003, 2581, 1965, 3788, 1992, 334, 1875, 348, 3527, 1606, 1845, 1148]"
4932,"[296, 318, 260, 527, 1, 1136, 858, 1394, 1079, 2194]","[1449, 3214, 2659, 265, 2000, 2391, 3052, 2852, 515, 3175, 441, 2908, 1090, 2968, 2791, 1079, 524, 2453, 1231, 2583, 3018, 1, 280, 492, 348, 147, 1732, 1285, 3255, 2194, 2248, 1394, 3552, 1968, 2997, 3703, 1693, 1834]"
2572,"[296, 1198, 2571, 1136, 541, 1221, 1, 1193, 3471, 1387]","[924, 144, 3159, 1221, 908, 678, 1, 3175, 3174, 1387, 32, 1304, 232, 2359, 551, 2571]"
195,"[2571, 527, 1097, 858, 2762, 1265, 1036, 3471, 2918, 750]","[3267, 3763, 2311, 1719, 480, 67, 1097, 379, 356, 774, 3816, 2111, 1161, 20, 2391, 177, 3157, 2762, 60, 85, 1179, 3915, 1485, 3740, 3706, 2231, 80, 1091, 239, 799, 527, 3007, 1265, 3083, 1261, 1212, 495, 3910, 1206, 950, 670, 2579, 3150, 858, 1222, 2840, 2571, 1089, 590, 441, 2294, 1914, 750, 431, 1204, 2467, 1148, 2844, 1835, 899, 70, 3328, 1732, 144, 2797, 1650, 1464, 3751, 908, 3822, 380, 1844, 2370]"
1946,"[593, 318, 1196, 260, 2028, 1240, 527, 1136, 1089, 2571]","[2501, 3897, 493, 778, 1466, 3361, 3072, 2028, 3543, 1393]"
5755,"[296, 593, 1196, 1136, 527, 1240, 750, 3471, 1270, 50]","[2138, 506, 342, 2467, 3067, 535, 2797, 1883, 247, 2028, 2174, 2071, 183, 197, 2791, 3266, 2938, 1150, 1923, 2414, 1997, 1221, 3526, 1610, 2302, 3420, 3361, 529, 914, 330, 1952, 1372, 3467, 1288, 2707]"
1298,"[1270, 1197, 296, 2918, 1136, 1265, 2000, 356, 2194, 3471]","[1693, 590, 585, 1206, 3359, 562, 3387, 1952, 3471, 235, 2374, 2194, 1358, 1270, 750, 2291, 924, 1379, 1544, 2242, 1961, 1947, 2948, 2803, 1633, 8, 86, 2746, 2530, 1120, 58, 1876, 431, 2240, 1290, 1547, 208, 2395, 1517, 2058, 1388, 2268, 1391, 2977, 356, 1951, 14, 2476, 2699, 276, 3489, 296, 3081, 1228]"
1680,"[260, 1270, 1240, 2797, 1265, 2571, 318, 1, 1307, 1387]","[3273, 527, 2257, 2413, 2755, 2496, 3508, 523, 1091, 273, 2973, 1023, 203, 745, 3863, 2333, 1947, 1089, 3325, 3807, 3715, 105, 2125, 1997, 1025, 2091, 2988, 2294, 616, 3197, 722, 3033, 2060, 2683, 2076, 2710, 1952, 2468, 32, 2051, 85, 77, 183, 1475, 2070, 1387, 1057, 1356, 585, 2465, 366, 1240, 376, 3392, 2, 3005, 1717, 2803, 3167, 2141, 1777, 3535, 271, 1963, 1047, 3448, 141, 3169, 3044, 3105, 778, 2144, 2146, 2177, 1024, 234, 1388, 2693, 3709, 3521, 3153, 3938, 1129, 492, 1037, 1381, 1361, 3927, 3608, 1288, 2762, 3397, 2659, 206, 1033, 3082, 922, 3917, 905, 3052, 2696, 173, 116, 2774, 3805, 287, 1370, 407, 3810, 3658, 728, 2335, 3684, 3633, 1278, 2641, 3141, 107, 3696, 708, 2875, 188, 1635, 2539, 2442, 3210, 1, 2395, 3557, 1380, 2116, 2019, 2028, 2365, 3203, 2851, 1354, 661, 3102, 3247]"
2100,"[1265, 260, 1198, 593, 296, 1097, 2918, 2028, 1393, 2396]","[450, 1883, 2857, 344, 351, 2123, 1031, 260, 3159, 2431, 3174, 3713, 1206, 1704, 708, 333, 104, 2139, 223, 3114, 2502, 216, 218, 441, 203, 1093, 1097, 2141, 593, 1968]"
3142,"[593, 858, 1208, 1136, 1394, 1198, 260, 318, 541, 1193]","[2968, 260, 1299, 1729, 1198, 3152, 3201, 1394, 1208, 1263, 1273]"
3675,"[1198, 1270, 1136, 858, 1, 1036, 2028, 1278, 2000, 541]","[3328, 616, 1517, 1937, 3174, 2762, 1179, 924, 1370, 1093, 2804, 342, 2028, 13, 3809, 3060, 3196, 858, 3489, 3619, 3740, 1204, 955, 541, 1276, 3608, 1358, 1272, 2402, 426, 1278, 3040, 3755, 3189, 1947, 3793, 3671, 3543, 1610, 3230, 1089, 1, 2997, 3148, 2940, 3827, 1285, 2469, 914, 3448, 1136, 346, 1247, 2001, 1198, 471, 708, 585, 1036, 1217, 3499, 920, 2959, 3614]"
4204,"[1196, 593, 1136, 1221, 2028, 1197, 589, 3471, 50, 1307]","[3498, 3614, 3062, 25, 3169, 1961, 1221, 1500, 3527, 3471, 2268, 1307, 589, 597, 356, 3114, 32, 1288, 3654, 2028, 1084, 3702, 3793, 208, 2009, 593, 3682, 3634, 3102, 1196, 2527, 1193, 1092]"
