k,metric,trained_mean,zero_shot_mean,nonranker_mean,diff_trained_zeroshot,diff_trained_nonranker,t_statistic_tz,p_value_tz,cohens_d_tz,t_statistic_tn,p_value_tn,cohens_d_tn
3,hit_ratio,0.54,0.53,0.53,0.01,0.01,0.1411,0.888,0.0199,0.1411,0.888,0.0199
3,precision,0.2,0.2133,0.2133,-0.0133,-0.0133,-0.4368,0.6628,-0.0618,-0.4368,0.6628,-0.0618
3,recall,0.0468,0.0529,0.0529,-0.0061,-0.0061,-0.8196,0.4134,-0.1159,-0.8196,0.4134,-0.1159
3,ndcg,0.2094,0.2106,0.2106,-0.0012,-0.0012,-0.0377,0.9699,-0.0053,-0.0377,0.9699,-0.0053
5,hit_ratio,0.64,0.66,0.66,-0.02,-0.02,-0.2951,0.7682,-0.0417,-0.2951,0.7682,-0.0417
5,precision,0.17,0.194,0.194,-0.024,-0.024,-1.0176,0.3101,-0.1439,-1.0176,0.3101,-0.1439
5,recall,0.0671,0.0782,0.0782,-0.011,-0.011,-1.1688,0.2439,-0.1653,-1.1688,0.2439,-0.1653
5,ndcg,0.1856,0.1977,0.1977,-0.0121,-0.0121,-0.4705,0.6385,-0.0665,-0.4705,0.6385,-0.0665
10,hit_ratio,0.82,0.86,0.86,-0.04,-0.04,-0.7688,0.4429,-0.1087,-0.7688,0.4429,-0.1087
10,precision,0.166,0.193,0.193,-0.027,-0.027,-1.4996,0.1353,-0.2121,-1.4996,0.1353,-0.2121
10,recall,0.1338,0.1563,0.1563,-0.0225,-0.0225,-1.4879,0.1384,-0.2104,-1.4879,0.1384,-0.2104
10,ndcg,0.1773,0.1956,0.1956,-0.0183,-0.0183,-0.9224,0.3575,-0.1304,-0.9224,0.3575,-0.1304
