k,metric,trained_mean,zero_shot_mean,nonranker_mean,diff_trained_zeroshot,diff_trained_nonranker,t_statistic_tz,p_value_tz,cohens_d_tz,t_statistic_tn,p_value_tn,cohens_d_tn
3,hit_ratio,0.23,0.36,0.36,-0.13,-0.13,-2.0263,0.0441,-0.2866,-2.0263,0.0441,-0.2866
3,precision,0.09,0.1367,0.1367,-0.0467,-0.0467,-1.7705,0.0782,-0.2504,-1.7705,0.0782,-0.2504
3,recall,0.0217,0.0324,0.0324,-0.0107,-0.0107,-1.704,0.0899,-0.241,-1.704,0.0899,-0.241
3,ndcg,0.089,0.1494,0.1494,-0.0604,-0.0604,-2.1049,0.0366,-0.2977,-2.1049,0.0366,-0.2977
5,hit_ratio,0.42,0.51,0.51,-0.09,-0.09,-1.2747,0.2039,-0.1803,-1.2747,0.2039,-0.1803
5,precision,0.098,0.128,0.128,-0.03,-0.03,-1.573,0.1173,-0.2224,-1.573,0.1173,-0.2224
5,recall,0.0394,0.0512,0.0512,-0.0118,-0.0118,-1.5302,0.1276,-0.2164,-1.5302,0.1276,-0.2164
5,ndcg,0.0954,0.1398,0.1398,-0.0444,-0.0444,-2.0442,0.0423,-0.2891,-2.0442,0.0423,-0.2891
10,hit_ratio,0.62,0.69,0.69,-0.07,-0.07,-1.0388,0.3001,-0.1469,-1.0388,0.3001,-0.1469
10,precision,0.102,0.124,0.124,-0.022,-0.022,-1.4957,0.1363,-0.2115,-1.4957,0.1363,-0.2115
10,recall,0.0821,0.0995,0.0995,-0.0174,-0.0174,-1.4289,0.1546,-0.2021,-1.4289,0.1546,-0.2021
10,ndcg,0.0994,0.1333,0.1333,-0.0339,-0.0339,-2.0264,0.0441,-0.2866,-2.0264,0.0441,-0.2866
