k,metric,trained_mean,zero_shot_mean,nonranker_mean,diff_trained_zeroshot,diff_trained_nonranker,t_statistic_tz,p_value_tz,cohens_d_tz,t_statistic_tn,p_value_tn,cohens_d_tn
3,hit_ratio,0.881,0.7381,0.7381,0.1429,0.1429,2.3834,0.0183,0.3678,2.3834,0.0183,0.3678
3,precision,0.4722,0.3373,0.3373,0.1349,0.1349,3.2919,0.0012,0.508,3.2919,0.0012,0.508
3,recall,0.1417,0.1012,0.1012,0.0405,0.0405,3.2919,0.0012,0.508,3.2919,0.0012,0.508
3,ndcg,0.5126,0.3679,0.3679,0.1447,0.1447,3.3426,0.001,0.5158,3.3426,0.001,0.5158
5,hit_ratio,0.9524,0.9048,0.9048,0.0476,0.0476,1.1963,0.2333,0.1846,1.1963,0.2333,0.1846
5,precision,0.4048,0.3429,0.3429,0.0619,0.0619,2.062,0.0408,0.3182,2.062,0.0408,0.3182
5,recall,0.2024,0.1714,0.1714,0.031,0.031,2.062,0.0408,0.3182,2.062,0.0408,0.3182
5,ndcg,0.4549,0.3637,0.3637,0.0912,0.0912,2.7341,0.0069,0.4219,2.7341,0.0069,0.4219
10,hit_ratio,0.9881,1.0,1.0,-0.0119,-0.0119,-1.0,0.3188,-0.1543,-1.0,0.3188,-0.1543
10,precision,0.3012,0.3298,0.3298,-0.0286,-0.0286,-1.3948,0.1649,-0.2152,-1.3948,0.1649,-0.2152
10,recall,0.3012,0.3298,0.3298,-0.0286,-0.0286,-1.3948,0.1649,-0.2152,-1.3948,0.1649,-0.2152
10,ndcg,0.3652,0.3468,0.3468,0.0184,0.0184,0.7975,0.4263,0.1231,0.7975,0.4263,0.1231
